,role
313,2D/3D Image Analyst
61,556 director (전 직원)
114,AHA (전 직원)
130,AI/ML Annotation Analyst (현 직원)
123,Access Control Specialist (전 직원)
202,Account Manager (현 직원)
305,Acoustic Engineering Program Manager
287,Advertising/Partner Marketing Finance Geo Lead | WW Sr. Financial Analyst (현 직원)
15,Advisor
57,Advisor Concentrix (현 직원)
267,Analyst (전 직원)
230,Analyst (현 직원)
279,Annotation Analyst (전 직원)
8,App Reviewer (전 직원)
224,Apple (현 직원)
113,Apple Care Adviser
223,Apple Employee
268,Apple Maps QA (전 직원)
275,Apple Specialist (현 직원)
216,Apple Support Advisor (전 직원)
87,Apple service (전 직원)
352,AppleCare (전 직원)
204,AppleCare Adviser
205,AppleCare Advisor (전 직원)
38,AppleCare Advisor (현 직원)
141,AppleCare At-Home Advisor (전 직원)
122,AppleCare At-Home Advisor Australia (전 직원)
318,Application Developer
4,Application Support Lead
281,Area Sales Manager (ASM) (전 직원)
116,Assembly Operator (전 직원)
115,Assistant (전 직원)
78,Associate
79,Associate (전 직원)
68,At Home Advisor (전 직원)
18,At home advisor (전 직원)
270,Build Engineer
171,Business Administrator (현 직원)
232,Business Analyst (전 직원)
58,Business Development Manager (현 직원)
167,Business Manager
325,Call Center Customer Service Representative (전 직원)
312,Campus Representative
241,Caretaker (전 직원)
221,Carpe Facto Advisor (현 직원)
184,Cashier (현 직원)
156,Channel Sales Manager
297,Chat Agent
154,Chef (전 직원)
72,Client Advisor (전 직원)
226,Client Advisor (현 직원)
105,Cognizant Engineer
218,College at home advisor (전 직원)
240,Computer Repair Technician
24,Computer Technician
242,Consultant (현 직원)
3,Coordinadora de Mercadotecnia (전 직원)
192,Creative Media Manager
140,Creative Pro (전 직원)
98,Creative Professional
65,Creative Specialist
132,Cusomeive (전 직원)
76,Customer Experience Specialist & Technical Support Specialist (전 직원)
210,Customer Relations Specialist (현 직원)
128,Customer Service (전 직원)
249,Customer Service (현 직원)
193,Customer Service Advisor (현 직원)
330,Customer Service Assistant (전 직원)
348,Customer Service Representative (전 직원)
49,Customer Service Representative (현 직원)
341,Customer Service Specialist (전 직원)
285,Customer Service Specialist (현 직원)
107,Customer Service Specialist/Remote (현 직원)
328,Customer Support Associate
118,Customer Support Representative (전 직원)
332,Customer Support Specialist (전 직원)
131,Data Analyst
276,Data Collection Analyst
99,Data Engineer
234,Data Quality Analyst (현 직원)
125,Delivery Driver (전 직원)
174,Design Engineer
39,Desktop Support Engineer (전 직원)
265,Dev Ops Engineer
333,DevOps Engineer
186,Developer Support (현 직원)
153,Developer program support (전 직원)
327,Development Lead
206,Driver (전 직원)
231,Editor (전 직원)
195,Editor (현 직원)
163,Employee (현 직원)
198,Engineer
187,Engineer (전 직원)
199,Engineer (현 직원)
75,Engineering Program Manager
208,Especialista (현 직원)
280,Especialista en ventas (전 직원)
50,Executive (전 직원)
291,Executive Chef (현 직원)
41,Expert (전 직원)
147,Expert (현 직원)
300,Expert Advisor
64,Family Room Specialist
253,Family Room Specialist (전 직원)
109,Field Design Engineer (전 직원)
225,Floor Staff (전 직원)
37,Forklift Operator (전 직원)
244,Fraud Prevention Specialist
134,General Manager (전 직원)
295,Genius
20,Genius (전 직원)
214,Genius (현 직원)
45,Genius Admin (현 직원)
145,Genius Admin | Back of House | Visuals Team-Member | Specialist (전 직원)
273,Genius Bar Technician (전 직원)
261,Graphic Production Artist
243,Great company (현 직원)
93,Hadoop Developer
66,Hardware Engineer
88,Help Desk Representative
12,IT
283,IT Infrastructure Manager
173,IT Project Manager
347,IT Support Specialist
288,IT Technician (전 직원)
136,Individual Contributor
319,Intern
22,Intern (전 직원)
59,Inventory Control Specialist
159,Inventory Specialist (전 직원)
89,"It doesn't matter the position, it's important to be efficient (현 직원)"
30,Java Developer
237,Lead (현 직원)
308,Lead Apple Solutions Consultant (현 직원)
229,Lead DevOps Engineer
201,Lead Genius
190,Lead Hardware Engineer (현 직원)
191,Lead QA Engineer
209,Lead Recruiter
251,Lead Specialist
353,Linguistic Reviewer
28,Linux System Administrator (전 직원)
197,Localization and Release Engineer
326,Mac Genius
323,Mac Specialist
73,Mac+ Senior Advisor (전 직원)
340,Machine Learning Engineer
222,Machine Learning Engineer (전 직원)
334,Machine Learning Intern
143,Make Ready Technician (현 직원)
86,Manager (전 직원)
84,Manager (현 직원)
284,Maps Field Operator/Certified Installer (전 직원)
82,Marketing (현 직원)
239,Marketing Intern (전 직원)
211,Marketing Specialist
149,Mechatronics Engineer (전 직원)
183,Mentor (현 직원)
161,Merchandiser (전 직원)
106,Na (전 직원)
258,Operations Specialist (전 직원)
44,Operations Specialist (현 직원)
255,Operations Support Analyst
108,Operations Support Specialist
324,Operator (전 직원)
189,Part-time Genius Bar Technical Expert (전 직원)
129,Partner Relations Coordinator (전 직원)
92,Phone Representative (현 직원)
120,Planner (전 직원)
35,Planner (현 직원)
310,Product Design Intern
151,Product Sales Specialist (현 직원)
46,Product Service Engineering Technician
16,Product Specialist
40,Product Specialist (전 직원)
185,Product Specialist (현 직원)
126,Product Specialist/Sales (현 직원)
235,Product Zone Specialist (전 직원)
257,Product zone specialist (전 직원)
55,Production Support Specialist
286,Program Developer
271,Program Manager
176,Program Support Advisor
278,Program Test Manager
317,Programmer Analyst
1,Project Coordinator (전 직원)
245,Project Management Intern
77,Project Manager
309,Project Manager (전 직원)
252,Project Manager (현 직원)
112,QA Agent
233,QA Analyst
0,QA Engineer
32,QA Lead
139,QA Tester
220,Quality Assurance Specialist
203,Quality Control Technician (전 직원)
137,R&D Intern
177,RED ZONE Specialist
60,Recruiter (전 직원)
207,Red Zone Specialist (전 직원)
304,Regional Manager (현 직원)
100,Relationship Manager
144,Repair Engineer (전 직원)
142,Research Scientist (현 직원)
135,Respite Care Provider (전 직원)
157,Retail Operations Analyst
188,Retail Sales Associate
94,Retail Sales Associate (전 직원)
217,Retail Specialist (전 직원)
298,Risk Manager (전 직원)
345,SQL Developer
179,Sacker (현 직원)
166,Sales Assistant (전 직원)
307,Sales Assistant (현 직원)
256,Sales Associate (전 직원)
85,Sales Associate (현 직원)
47,Sales Associate/Cashier (전 직원)
316,Sales Consultant (전 직원)
95,Sales Expert (전 직원)
299,Sales Lead (현 직원)
48,Sales Professional (전 직원)
5,Sales Representative (전 직원)
7,Sales Representative (현 직원)
56,Sales Specalist (현 직원)
155,Sales Specialist
170,Sales Specialist (전 직원)
238,Sales Specialist (현 직원)
13,Sales and Customer Service Specialist (현 직원)
36,Seasonal Product Specialist (전 직원)
104,"Seasonal Specialist Denver,Colorado (현 직원)"
90,Senior Advisor
337,Senior Advisor (전 직원)
336,Senior Advisor (현 직원)
138,Senior Business Intelligence Analyst
11,Senior Front End Developer
306,Senior Java Developer
215,Senior Project Manager for SAP (현 직원)
293,Senior SAP SD Analyst
266,Senior SRE
227,Senior Software Engineer
350,Senior Software Engineer (현 직원)
62,Senior Software QA Engineer
262,Senior Technical Advisor
119,Senior Technical Advisor (전 직원)
29,Senior Technical Advisor (현 직원)
213,Senior Technical Specialist (현 직원)
23,Senior Technical Support Advisor (현 직원)
343,Senior Technician (현 직원)
127,Software Architect
339,Software Developer (전 직원)
150,Software Developer (현 직원)
351,Software Development Engineer in Test
103,Software Engineer
219,Software Engineer (현 직원)
43,Software Engineer Intern (전 직원)
246,Software Engineering Intern
248,Software QA Engineer
80,Solutions Architect
178,Soporte Técnico (전 직원)
321,Specialist
290,Specialist (전 직원)
263,Specialist (현 직원)
6,Specialista (현 직원)
91,Spécialiste (전 직원)
292,Spécialiste (현 직원)
70,Sr. Advisor (현 직원)
14,Sr. Program Manager (Consultant) (전 직원)
212,Store Associate (전 직원)
315,Store Leader (현 직원)
101,Store Product Specialist (전 직원)
168,Student (전 직원)
2,Supervisor (전 직원)
25,Supply Chain Intern
247,Support Tech (전 직원)
311,Support Technician (전 직원)
146,Systems Administrator
124,Systems Engineer (현 직원)
301,T2 media services (전 직원)
160,Team Manager
96,Team Member (전 직원)
169,Tech (전 직원)
83,Tech Specialist (전 직원)
74,Tech Specialist (현 직원)
164,Tech Support Specialist (전 직원)
259,Technical Advisor
97,Technical Expert
320,Technical Expert (전 직원)
346,Technical Expert (현 직원)
33,Technical IOS Advisor (전 직원)
254,Technical Lead
282,Technical Lead (전 직원)
344,Technical Product Manager
329,Technical Program Manager
196,Technical Project Manager
111,Technical Specialist
158,Technical Specialist (전 직원)
194,Technical Specialist (현 직원)
67,Technical Specialist II (전 직원)
21,Technical Specialist III (전 직원)
182,Technical Specialist and Product Zone Sales (현 직원)
228,"Technical Specialist, Genius Admin (전 직원)"
34,Technical Support (전 직원)
63,Technical Support (현 직원)
71,Technical Support Administrator
152,Technical Support Advisor
52,Technical Support Advisor (전 직원)
250,Technical Support Advisor (현 직원)
165,Technical Support Agent
314,Technical Support Agent (현 직원)
338,Technical Support Analyst
31,Technical Support Coach
110,Technical Support Engineer
148,Technical Support Representative (전 직원)
302,Technical Support Representative (현 직원)
236,Technical Support Specialist
53,Technical Support Specialist (현 직원)
181,Technical Writer/Editor (전 직원)
17,Technician
289,Technician (전 직원)
162,Technology Support Analyst
335,Tier 1 Support (현 직원)
342,Tier 1 Technical Support (전 직원)
349,Tier 2 Advisor (현 직원)
303,Tier 2 Technical Support Specialist (전 직원)
294,Tutor
264,UI Developer
69,UX Designer (전 직원)
9,Vente (전 직원)
27,Video Specialist (전 직원)
54,Visual Designer (현 직원)
296,Volt Temp (전 직원)
51,Vulnerability Management Engineer (전 직원)
277,Warehouse Operations Manager
117,Wireless Analysts (전 직원)
19,Wireless Network Engineer
180,Yes (전 직원)
10,asesor de ventas (전 직원)
42,asesor de ventas (현 직원)
272,better than you (전 직원)
81,consultant (전 직원)
26,engineer (전 직원)
200,iOS Engineer (전 직원)
175,iOS Phone Support Agent
133,iOS Senior Advisor
322,iOS Technical Support (현 직원)
260,iOS Technical Support Advisor
121,iPhone Hardware Engineer (전 직원)
274,iPhone Repair Technician (전 직원)
331,vr engineer (전 직원)
269,yes (현 직원)
102,アドバイザー (현 직원)
172,カスタマーサポート (전 직원)
